prof,diff_from_avg
,0.3277777777777784
", Jack",0.22999999999999998
"Abbott, Michael",0.09545454545454524
"Abbott, Patricia",0.0
"Abdel-Latif, Sara",0.0
"Abdelfattah, Moataz",-0.23999999999999977
"Abdenbi, Brahim",0.10987554355975407
"Abdul Salam, Fawaz",0.6124999999999998
"Abecassis, Deborah",0.0
"Abi Mansour, Dolly",0.10414141414141431
"Abi Younes, Elio",0.7999999999999998
"Abisaab, Malek",-0.059285714285714386
"Abisaab, Rula",-0.05714285714285716
"Abizadeh, Arash",-0.1201680672268907
"Abouheif, Ehab",0.04777777777777765
"Aboulamer, Anas",-0.023809523809523725
"Abraham, David",0.06999999999999984
"Abram, Zachary",0.05238095238095242
"Abrams, Amanda",0.013333333333333197
"Abrams, Ryan",-0.20000000000000018
"Abramson, David",-0.00909090909090926
"Abramson, David Lloyd",-0.10037878787878785
"Abu Bakar, Siti Hazariah",0.0
"Abugov, Haley",0.4249999999999998
"Ada, Anil",0.05172413793103425
"Adamchuk, Viacheslav",0.0
"Adamowski, Jan",0.0
"Adams, Annmarie",0.0
"Adamski, Jakub",0.0
"Addario-Berry, Dana Louis",0.125
"Addario-Berry, Louigi Dana",0.03392857142857153
"Addy, Nii Antiaye",-0.07857142857142858
"Adjetey, Wendell Nii Laryea",-0.1625000000000001
"Affana, Noor",-0.22499999999999964
"Afifi, Mohamed",0.09999999999999964
"Afshari, Mohammad",-0.20000000000000018
"Agarwal, Kartiek",-0.023809523809523874
"Agellon, Luis",0.10999999999999988
"Aghili Dehkordi, Ghazaleh",-0.12894736842105248
"Aguer, Céline",0.1788888888888888
"Ahmed, Mahmoud",0.17301587301587315
"Ahsan, Faizy",0.20000000000000018
"Ahsan, Md. Nazmul",-0.07499999999999996
"Aigner, Florian",0.7366666666666668
"Aitken, David",0.1333333333333333
"Ajjamada, Kushalappa",-0.3900000000000001
"Akavia, Uri David",-0.09999999999999983
"Akbarzadeh, Abdolhamid",-0.04416666666666691
"Al Balushi, Ibrahim",-0.16977777777777803
"Al Hajj, Raghid",-0.04848484848484844
"Al-Saji, Alia",-0.006593406593407077
"Alam, Sabrina Shajeen",0.1499999999999999
"Alam, Shomoita",-0.02499999999999991
"Alarie, Milaine",-0.20000000000000018
"Albanese, Michael",0.41879629629629633
"Alberini, Giulia",0.018317623195322624
"Aldred, Raymond",-0.13055555555555554
"Aldrich, Simon",1.3457248783335231e-17
"Aldridge, Jerry",0.046666666666666946
"Alexander, Danielle",0.20000000000000018
"Aleyasin, Seyed Ali",-0.10574074074074069
"Alfieri, Antonio",0.33666666666666645
"Algie, Stephen",-0.013888888888888864
"Algieri, Stefano",0.022727272727272728
"Alhafidh, Firas Khairi",0.0
"Ali, Genevieve",0.38333333333333375
"Ali, Muhammad Shafqat",-0.48349206349206364
"Ali, Suhad",0.0
"Alitowski, Liane",0.0
"Allan, Diana",0.03958333333333375
"Allard-Tremblay, Yann",0.047619047619047596
"Allaster, John",0.05423280423280438
"Allen, Bruce",-0.1875
"Allen, Patrick",0.10199999999999965
"Almey, Anne",-3.7007434154171886e-16
"Alobaidi, Mohammad",0.22829931972789094
"Alonso-Ovalle, Luis",-0.11818181818181861
"Alonso-Ovalle, Luis Fernando",-0.11818181818181861
"Alshafie, Walaa",0.0
"Altamura, Fernando",-0.05156325156325169
"Alvarez, Christophe",0.01666666666666668
"Alvarez, Hector",0.1499999999999999
"Alvarez-Cuadrado, Francisco",0.05833333333333327
"Amabili, Marco",0.14523809523809503
"Amasyali, David",-0.08333333333333348
"Amasyali, Emre",0.2633333333333334
"Amini, Marzieh",0.05454545454545423
"Amirault, Greg G",0.006521739130434798
"Amirault, Steve",-0.04999999999999993
"Amodio, Francesco",0.08181818181818201
"Amores, Jerikho Ezzekiel",0.09523809523809519
"Amos, Margaret",-0.28571428571428603
"Amsel, Rhonda N",-0.1818883457679443
"An, Kwangjun",0.07411764705882362
"Anastassiadis, Anastassios",-0.008333333333333304
"Anastassiadis, Tassos",0.1416666666666666
"Andelfinger, Gregor",-0.020000000000000018
"Andersen, Joceline",-0.06666666666666643
"Andersen, Ross",-0.07619047619047636
"Anderson, William J",-0.18743589743589756
"Andrei, Daniel",0.0
"Andriani, Laura",0.0
"Angel Tapias, Alejandro",0.037499999999999645
"Angeles, Jorge",-0.04117647058823515
"Anghel, Radu-Mihail",-0.4500000000000002
"Animesh, Animesh",-0.04298245614035082
"Anker, Kirsten",0.0
"Annahatak, Betsy",-0.040000000000000036
"Antaki, Mark",0.0
"Antel, Jack P",-0.002777777777777916
"Anthony, Sarah",-0.09786324786324786
"Antonacci, Rosetta",0.0071428571428570065
"Antonio, Garry M W",-0.009999999999999964
"Antunes Nascimento, Johnnatan Ivens",-0.2666666666666666
"Ao, Asangla",0.01999999999999977
"Appignanesi, Gus",0.03824175824175834
"Arbel, Tal",-0.1
"Arbolay Alfonso, Lizandro",0.13333333333333375
"Archambault, Jacques",0.07805059523809513
"Archambault, Philippe",-0.09999999999999964
"Archambault, William",2.4671622769447922e-17
"Archambault-Lafond, Olivier",-0.44444444444444464
"Ardakani, Arash",0.25
"Ardestani Jaafari, Amir",-0.07222222222222197
"Ardis-Bernhardt, Brianna",0.1333333333333333
"Ariya, Parisa A",0.0021978021978022533
"Armanfard, Narges",-0.007142857142857244
"Armanious, Joseph",-0.050000000000000266
"Armistead, Cheryl",0.0
"Armstrong, Frédérick",-0.04999999999999982
"Arnaert, Antonia",-0.07666666666666684
"Arndtsen, Bruce A",0.06688311688311677
"Aronovitch, Aviva",-0.03333333333333336
"Arseneau, Isabelle",0.0
"Aryan, Farzad",0.036666666666666625
"Asgharian, Masoud",0.7250000000000001
"Asgharian-Dastenaei, Masoud",-0.1714285714285715
"Ashcroft, Louise",-0.20000000000000018
"Asly, Monica",-0.010666666666666439
"Asseraf-Pasin, Liliane",0.008571428571428452
"Assis, Amit",0.0
"Atallah, Bassel",-0.006060606060605837
"Atallah, Eyad Hashem",-0.0393650793650793
"Atkin, Jacqueline",0.22000000000000064
"Atoui, Farah",-0.0625
"Attar, Muhammad",0.0
"Aubouy, Isabelle",0.0
"Auclair, Karine",0.052987012987012916
"Audette, Isabel",0.0
"Augustin, Patrick",0.0
"Augustinavicius, Jura",0.0
"Autexier, Chantal",0.0
"Avedesian, Michael M",-2.9605947323337506e-16
"Avery, Rachel",0.15263157894736823
"Avidan, Miron",0.007773109243697451
"Awasthi, Rashami",-0.1499999999999999
"Axt, Jordan",4.440892098500626e-16
"Azar, Andree",2.6122894697062506e-17
"Baass, Alexis",0.0
"Babaei, Mehdi",0.0
"Babarutsi, Sofia",6.832141690000964e-17
"Babcock, Michael",-0.016666666666666607
"Baccini, Leonardo",0.08333333333333348
"Bachrachas Peterburg, Janine",-0.38148148148148087
"Backstrom, Melvin",0.03333333333333366
"Badami, Madhav Govind",-0.013425925925925989
"Bader, Alyssa",0.0
"Baert, Michelle",-0.10833333333333324
"Bagg, Samuel",0.09999999999999964
"Baglole, Carolyn",0.023412698412698402
"Bagot, Rosemary",0.041666666666666664
"Bahadi, Mazen",-0.1450000000000001
"Bahramian, Alireza",0.36666666666666714
"Baier, Nicholas",0.07890977443609035
"Baijnath, Janine Ann",0.03444444444444428
"Bailey, Michael",-0.4633333333333334
"Bailey, Swneke",-0.023428571428571666
"Bajcsy, Jan",0.10714285714285698
"Baker, Andrew G",-0.13333333333333375
"Baker, Curtis L",0.0
"Baker, Don",0.008333333333333082
"Baker, Laurence B B",-0.10000000000000009
"Bakulina, Olga Ellen",0.050000000000000266
"Balaban, Evan",-0.22916666666666666
"Balan, Manuel",0.07604166666666656
"Balbahadur, Vedanta Prasad",0.0
"Baldwin, Alexander",0.3500000000000001
"Baldwin, Mark W",-0.07532467532467489
"Bale, Alan Clinton",-0.24736842105263124
"Baliga, Bantwal",0.17519841269841283
"Ball, Chantal",0.0
"Ball, Gavin",0.7366666666666668
"Balmau, Oana",0.21078296703296712
"Bandarchian Rashti, Nesa",0.07500000000000018
"Bandeoglu, Zeyyat",0.1499999999999999
"Bandy, Dorian",-0.06785714285714306
"Banerjee, Ananya",0.0
"Banerjee, Mallika",-0.14454545454545462
"Banerjee, Moinak",0.13333333333333375
"Banerjee, Sandeep",-0.006666666666666672
"Banks, Jessica",-0.6633333333333336
"Banks, Lisa",0.05714285714285732
"Bar-Or, Amit",0.016666666666666607
"Baratin, Aristide",-0.16333333333333325
"Barbeau, Audrey-Kristel",-0.3681818181818177
"Barbeau, Marc",0.0
"Barber, Nicholas",-0.20000000000000018
"Barczyk, Daniel",0.1428571428571431
"Barg, Lisa",0.09523809523809461
"Baril, Mathieu",-0.25
"Baril-Furino, Alexandre",0.05555555555555536
"Barill, Gavin",-0.2566666666666668
"Barkley, Danielle",-0.01746031746031725
"Barney, Darin",-0.015624999999999889
"Barnwell Ménard, Jean-Louis",0.37142857142857144
"Barralet, Jake",0.0
"Barras, Laurent",-0.06909090909090923
"Barre, Paul E",0.0
"Barrett, Christopher",-0.13636363636363624
"Barrett, Rowan",0.062499999999999944
"Barriales Bouche, Alejandra",-0.03674603174603169
"Barrington-Leigh, Christopher",-0.039145299145299184
"Barry, Suren",4.0371746350005693e-17
"Barsheshat, Yariv",0.3559259259259262
"Barshi, Naomi",0.2875000000000001
"Bartello, Peter",0.04800000000000004
"Barth, Barbara",0.2999999999999998
"Barth, Josie",-0.23809523809523814
"Barthelat, Francois",-0.1099624060150377
"Bartz, Jennifer",-0.02857142857142866
"Barzegar, Rahim",-0.050000000000000266
"Basik, Mark",-0.04285714285714315
"Baskin, Theodore",-0.004838709677419338
"Baskind, Alana",-0.0470588235294116
"Basque, Alexis",0.00833333333333334
"Bassellier, Genevieve",0.014436090225563929
"Basu, Niladri",7.401486830834377e-17
"Basu, Subho",-3.3306690738754696e-16
"Bateman, Andrew",-0.016000000000000014
"Batstone, Leah",0.031818181818182634
"Bau-Tremblay, Xavier",0.0
"Bauer, Karin",-0.13333333333333375
"Bauer, Mikaël",0.04444444444444451
"Baumann, Leonie",0.0
"Bayen, Stephane",-2.220446049250313e-16
"Bazin, Paul",0.0
"Bazinet, Nadia",0.0
"Beamish, Anne",-0.09999999999999964
"Beaubrun, Anne-Laurie",-0.09642857142857153
"Beauchamp, Gilles",-0.04999999999999982
"Beaudin, Crystal",-0.04285714285714315
"Beaudry, Jonas-Sébastien",0.25
"Beaudry, Pierre",0.005555555555555569
"Beaulieu, Serge",2.9605947323337506e-16
"Beaumont, Paul",0.10952380952380973
"Beauregard, Frieda",-0.01666666666666646
"Beausejour, Luc",0.0142857142857143
"Becerra Romero, David",-0.0913103448275864
"Becerra, David",0.14193141224100955
"Bechstedt, Susanne",0.137777777777778
"Beck, Hans",0.10000000000000009
"Beck, Jodie",-0.08799999999999972
"Beck, Leslie A",0.0
"Beck, Nicholas",-0.18333333333333357
"Beckman, Erin",-0.046153846153846434
"Bede, Jacqueline",-0.3900000000000001
"Begg, Caroline B",-0.03818181818181834
"Begum, Khaleda",-0.060952380952380945
"Behr, Marcel A",7.401486830834377e-17
"Beitel, Garry",-4.440892098500626e-16
"Bekci, Recep Yusuf",0.3277777777777784
"Bekele-Yitbarek, Alexander",-0.13333333333333375
"Belanger, Eric",0.021428571428571224
"Beliveau, Rachele",0.0
"Bell, Gloria",-0.06666666666666672
"Bell, Graham",0.0620650953984288
"Bellavance, Éric",-0.02857142857142847
"Benchekroun, Hassan",-0.14999999999999977
"Bender, Peter",0.0
"Bendixen, Mette",-0.20000000000000018
"Benedicto, Roberto",-0.01666666666666705
"Benkerroum, Noreddine",-0.06666666666666643
"Bennett, Elena",0.02844444444444445
"Bennett, Melanie",-0.22499999999999964
"Bennett-Flammer, Briar",0.1333333333333333
"Bennett-Stonebanks, Melanie",0.0714285714285715
"Benoit, Brian",0.06499999999999995
"Benoit, Brian Andrew",-0.0625
